kode_matkul,nama_matkul,sks_matakuliah,total_hadir,total_pertemuan,kode_nilai,kategori,npm_mahasiswa,rasio_kehadiran,kategori_encoded,cluster_kmeans,cluster,cluster_dbscan,cluster_agglo,cluster_gmm
SI00163,Teknologi Game,3,14,14,A,Game Making,1931173,1.0,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931173,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931173,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931173,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,5,14,B,Startup,1931173,0.35714285714285715,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931173,1.0,14,3,3,11,3,3
SI00273,Creative Writing,3,14,14,A,Logical Thinking,1931173,1.0,11,6,6,12,12,11
SI00240,Efek Visual,3,14,14,A,Animation,1931173,1.0,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931173,1.0,7,0,0,14,7,11
SI00163,Teknologi Game,3,14,14,A,Game Making,1931001,1.0,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931001,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,B,Marketing,1931001,1.0,16,8,8,3,0,8
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931001,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,6,14,C,Startup,1931001,0.42857142857142855,22,7,7,5,14,7
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931001,1.0,14,8,8,16,0,11
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931001,1.0,16,2,2,17,1,11
SI00273,Creative Writing,3,14,14,A,Logical Thinking,1931001,1.0,11,6,6,12,12,11
SI00240,Efek Visual,3,14,14,A,Animation,1931001,1.0,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931001,1.0,7,0,0,14,7,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931009,1.0,16,8,8,3,0,11
SI00233,Desain Kreatif,3,13,14,A,Design,1931009,0.9285714285714286,5,5,5,2,4,11
SI00163,Teknologi Game,3,13,14,A,Game Making,1931009,0.9285714285714286,7,1,1,1,2,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931009,1.0,5,5,5,4,4,11
